employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,salary
51444,HR,region_13,Bachelor's,f,other,1,30,,1,0,54,0,23134
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,0,63,0,77587
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3,2,0,90,1,38983
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5,5,0,49,0,34160
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4,2,0,46,0,48752
51892,Technology,region_2,Bachelor's,m,other,1,27,5,2,0,86,1,30841
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3,2,0,72,0,10891
38771,Procurement,region_23,Bachelor's,f,other,1,27,4,4,0,72,1,16443
18959,Technology,region_15,Bachelor's,m,other,4,36,4,7,0,82,0,77342
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4,6,0,77,0,22819
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5,7,0,51,1,29054
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5,3,1,92,1,12093
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,0,58,0,23461
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3,5,0,71,0,17376
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83,0,26368
15227,Procurement,region_27,Master's & above,f,other,1,40,5,5,0,68,0,82392
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,50,0,29145
42068,Operations,region_1,Master's & above,m,other,1,38,5,9,0,,0,97736
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3,2,0,47,0,66078
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5,3,0,46,0,21603
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5,4,0,67,0,28917
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,0,58,0,38567
19318,Analytics,region_22,Bachelor's,m,other,1,32,3,8,0,89,1,125039
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5,8,0,50,0,17415
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56,0,42638
29521,Technology,region_15,Bachelor's,m,other,1,27,3,4,0,78,0,85097
36371,Finance,region_28,Master's & above,m,other,2,34,3,7,0,56,0,27196
51164,Technology,region_14,Bachelor's,f,other,1,31,4,4,1,78,0,46448
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4,2,0,77,0,29900
7606,Technology,region_29,Bachelor's,f,other,2,30,3,7,1,76,0,25635
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,0,56,0,10292
73735,Analytics,region_25,Bachelor's,m,other,1,30,5,3,0,84,0,114957
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3,2,0,57,0,73825
40262,Technology,region_2,Bachelor's,m,other,2,28,3,5,0,81,0,22212
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3,2,0,51,0,47404
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3,11,0,51,0,26344
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5,4,0,80,0,99793
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1,4,0,72,0,130027
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,0,50,0,11031
74018,HR,region_7,Master's & above,f,other,1,37,3,9,0,48,0,13308
34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,0,88,1,12636
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5,3,0,70,1,21171
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4,4,0,57,0,41165
5515,Operations,region_13,Master's & above,m,other,1,43,3,7,0,56,1,105835
53373,Operations,region_13,Bachelor's,m,other,1,36,1,5,0,56,0,44224
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3,3,0,63,0,33660
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3,2,0,56,0,24874
50622,Analytics,region_25,Master's & above,m,other,1,34,5,2,0,84,0,18520
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4,4,0,,0,36897
45157,HR,region_4,Bachelor's,m,other,1,27,,1,0,50,0,37654
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3,5,0,75,0,44775
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1,4,0,48,0,27620
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5,7,0,70,0,42160
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,0,73,0,86446
34405,Procurement,region_2,Master's & above,f,other,1,33,5,4,0,67,0,67430
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1,8,0,,0,56836
23599,Technology,region_23,Master's & above,m,other,1,34,4,7,0,82,0,31956
942,Technology,region_22,Bachelor's,m,other,2,32,4,6,0,84,0,20723
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4,6,0,53,0,45303
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,0,,0,96067
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1,2,0,50,0,30213
26773,Technology,region_7,Bachelor's,f,other,1,28,2,5,0,75,0,13017
70034,Procurement,region_2,Master's & above,f,other,2,35,3,9,0,70,0,45662
40565,Technology,region_2,Bachelor's,f,other,2,40,3,3,0,86,0,18775
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2,4,0,54,0,143342
76550,Procurement,region_22,Bachelor's,f,other,3,26,3,3,0,70,0,27021
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2,12,0,57,0,44603
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,,0,146284
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5,6,0,84,0,75418
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3,15,0,51,0,12335
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4,4,0,49,0,71704
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4,4,0,70,0,85031
34306,Procurement,region_13,Bachelor's,f,other,1,31,5,5,0,72,0,49593
34041,Operations,region_7,Bachelor's,m,other,1,40,4,11,0,58,0,36394
21356,Operations,region_15,Bachelor's,f,other,2,39,5,12,0,55,0,45446
29540,Operations,region_2,Bachelor's,f,other,2,30,3,6,0,57,0,33928
51669,Technology,region_2,Master's & above,m,other,1,47,4,4,0,77,0,23101
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4,7,0,48,1,47084
6254,Operations,region_2,,f,other,1,33,4,9,0,64,0,24846
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5,7,0,51,0,58951
3231,Technology,region_7,Bachelor's,m,other,1,29,1,4,0,80,0,67080
7030,Analytics,region_31,Bachelor's,f,other,1,32,3,4,0,86,0,48114
54198,Procurement,region_7,Master's & above,f,other,1,47,5,9,0,68,0,49928
62293,Operations,region_27,Bachelor's,m,other,1,35,4,3,0,65,0,39713
25312,Technology,region_22,Bachelor's,m,other,1,27,4,2,0,75,0,41938
75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,0,81,0,31494
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3,9,0,49,0,58706
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1,8,0,39,0,17036
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3,2,0,70,0,105269
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4,5,1,94,1,77066
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3,2,0,60,0,11394
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5,2,0,51,0,12838
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5,4,0,56,0,28806
60761,Operations,region_16,,f,other,1,31,4,2,0,62,0,69292
57228,HR,region_2,Master's & above,m,sourcing,1,44,5,6,0,48,0,18286
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3,4,0,49,0,44654
22725,Technology,region_26,Bachelor's,m,other,1,40,1,3,0,78,0,10574
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5,6,1,58,0,63797
50845,Procurement,region_19,Master's & above,m,other,1,44,3,12,0,70,0,135429
11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,69,0,12677
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1,2,0,53,0,10456
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1,4,0,80,0,19316
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5,4,0,58,0,37764
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85,0,19970
58338,Analytics,region_1,Bachelor's,m,other,2,30,5,6,0,81,0,12670
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1,8,0,67,0,28969
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4,8,0,86,0,22823
27188,Analytics,region_13,Master's & above,m,other,1,30,3,4,0,80,0,24500
24291,Analytics,region_26,Bachelor's,m,other,2,27,5,3,0,85,0,19209
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,68,0,28535
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3,3,0,58,0,35189
34241,Analytics,region_22,Bachelor's,m,other,2,28,3,5,0,86,0,30633
76661,Procurement,region_17,Bachelor's,m,other,1,31,5,3,0,68,0,57634
50595,Operations,region_2,Bachelor's,f,other,1,43,4,12,0,58,0,99594
67673,Operations,region_4,Bachelor's,f,other,1,35,5,9,0,60,0,27702
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3,9,0,49,0,90175
73405,Operations,region_2,Master's & above,m,other,1,50,3,8,0,59,0,28573
73114,HR,region_17,Bachelor's,f,other,1,26,4,3,0,50,0,36394
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3,5,0,52,0,28721
62923,Operations,region_13,Master's & above,f,other,1,38,5,2,1,93,1,39660
57235,Sales & Marketing,region_26,,m,other,1,22,4,2,0,51,0,45516
22300,HR,region_20,Bachelor's,m,other,1,28,,1,0,52,0,45506
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3,9,0,69,0,101140
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3,9,0,86,0,43457
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3,8,0,51,0,10863
71339,Technology,region_6,Bachelor's,m,other,1,35,3,8,0,78,0,20189
54714,Analytics,region_29,Bachelor's,m,other,1,39,3,4,0,85,0,37607
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5,4,0,63,0,12533
9563,Operations,region_31,Bachelor's,m,other,2,38,3,7,1,60,0,25048
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1,2,0,48,0,25236
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2,3,0,52,0,24535
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,54,0,25079
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3,4,0,84,0,29882
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2,4,0,57,1,40681
24414,R&D,region_2,,m,other,1,25,,1,0,76,0,27909
63237,Technology,region_22,Bachelor's,m,referred,1,26,4,2,0,82,0,31362
32838,Technology,region_7,Bachelor's,m,other,1,31,4,4,0,78,0,45392
23003,Technology,region_14,Bachelor's,f,other,1,38,5,7,0,82,0,78724
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4,9,0,49,0,38385
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5,4,1,50,0,32128
60176,Procurement,region_15,Master's & above,f,other,1,34,5,8,0,67,0,26986
67652,Procurement,region_23,Master's & above,f,other,1,33,3,5,0,72,0,126803
15476,Technology,region_2,Bachelor's,f,other,1,29,5,3,0,78,0,18308
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4,2,0,,0,47178
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,56,0,35007
10058,Analytics,region_22,Bachelor's,m,other,2,26,4,2,0,87,0,29368
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5,4,0,64,0,20445
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3,7,0,46,0,22882
70060,Technology,region_13,Master's & above,m,other,1,43,3,14,0,79,0,13489
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1,8,0,39,0,37232
71904,Technology,region_7,Master's & above,f,other,2,38,3,10,0,88,0,42132
76080,Operations,region_7,Bachelor's,f,other,1,34,1,5,0,54,0,49455
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4,4,0,63,0,45470
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1,4,0,,0,46980
26409,Operations,region_2,Bachelor's,m,other,1,33,4,3,0,,0,72117
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4,5,0,48,0,32295
28687,Operations,region_2,Master's & above,m,other,3,38,3,11,0,57,0,19657
34312,Procurement,region_2,Master's & above,f,other,2,54,4,23,0,66,0,37940
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2,8,0,49,0,24993
11794,R&D,region_2,Bachelor's,m,other,2,26,5,3,0,87,0,26883
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5,3,0,59,0,84589
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,62,0,126160
13970,Operations,region_33,Master's & above,m,other,1,36,3,4,0,60,0,42990
49868,Technology,region_5,Bachelor's,m,other,1,45,3,15,0,87,0,57604
25261,Procurement,region_7,Master's & above,m,other,1,38,4,7,0,66,0,36301
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2,4,0,47,0,39478
55550,Analytics,region_27,,m,sourcing,1,31,3,4,0,85,0,43839
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3,7,0,87,0,125075
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4,4,0,78,0,10146
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3,12,0,50,0,126493
30682,Technology,region_2,Bachelor's,m,referred,2,29,4,6,0,75,0,145918
1829,Analytics,region_28,Bachelor's,m,other,2,31,5,7,0,87,0,33654
2177,Finance,region_16,Bachelor's,m,other,1,32,5,6,0,58,0,28942
51771,Operations,region_17,Bachelor's,m,other,1,42,5,11,0,67,0,31016
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5,3,0,65,0,34628
64977,Procurement,region_16,Bachelor's,f,other,1,24,3,2,0,70,0,30152
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3,7,0,56,0,58862
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1,3,0,80,0,48981
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3,2,0,47,0,29061
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5,14,0,48,0,125962
58203,Operations,region_16,Bachelor's,m,other,2,39,3,9,0,58,0,44453
12504,Technology,region_7,Bachelor's,f,other,1,46,4,17,0,85,0,12298
49126,Technology,region_15,Bachelor's,m,other,1,29,2,5,0,77,0,32481
66469,Finance,region_7,Bachelor's,m,other,1,26,1,3,0,59,0,48803
53350,Operations,region_23,Bachelor's,m,other,1,35,4,5,0,,0,49765
22031,Procurement,region_2,Bachelor's,f,other,1,29,4,2,0,95,1,102175
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2,9,0,79,0,43929
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4,5,0,50,0,123516
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1,6,0,47,0,33780
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2,4,0,59,0,96469
33619,Technology,region_2,Master's & above,m,sourcing,1,46,5,10,0,76,0,29068
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2,2,0,69,0,46532
40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2,5,0,47,0,47873
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5,3,0,86,0,41189
12559,Operations,region_22,Bachelor's,f,other,1,35,5,10,0,63,0,38247
30433,Procurement,region_27,Bachelor's,m,other,1,36,4,3,0,66,0,46459
13150,Procurement,region_2,Master's & above,f,other,1,58,1,13,0,70,0,34159
9616,Finance,region_31,Bachelor's,m,other,1,29,4,4,0,57,0,110191
26563,Procurement,region_2,Bachelor's,f,referred,1,33,3,3,0,67,0,37476
38331,Operations,region_16,Bachelor's,f,other,1,32,5,6,0,62,0,132134
18651,Legal,region_22,Below Secondary,m,other,1,25,5,2,0,59,0,38349
45004,Procurement,region_13,Bachelor's,m,other,4,41,2,9,0,68,0,18991
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,0,69,0,127126
16859,Analytics,region_2,Master's & above,m,other,1,50,1,7,1,79,0,29813
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1,7,0,53,0,100637
22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,81,0,27464
22865,Analytics,region_20,Master's & above,m,other,1,40,5,5,1,83,1,26310
67467,Finance,region_2,Below Secondary,f,other,1,26,3,2,0,,0,135830
2268,Technology,region_13,Bachelor's,m,other,1,35,5,8,0,81,0,105709
33517,Sales & Marketing,region_7,Master's & above,m,other,1,37,3,7,0,52,0,22789
27605,Operations,region_22,Master's & above,m,other,1,34,3,3,0,75,1,39115
69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3,2,0,57,0,38675
45496,Sales & Marketing,region_2,,m,other,1,22,5,2,0,62,1,35930
66262,Procurement,region_2,Bachelor's,f,other,2,26,5,2,0,68,1,15497
55425,Technology,region_2,Bachelor's,f,other,1,31,4,7,0,80,0,19639
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5,3,0,60,0,46435
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3,6,0,86,0,32623
11205,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5,8,0,48,0,128370
469,Technology,region_2,Bachelor's,f,sourcing,1,57,3,19,0,81,0,133163
44703,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,4,9,0,51,0,44289
14847,Sales & Marketing,region_20,Bachelor's,m,other,1,28,3,3,0,48,0,36908
43689,Analytics,region_12,Bachelor's,m,sourcing,2,33,4,3,0,86,0,82648
72157,Analytics,region_2,Bachelor's,m,sourcing,1,41,3,3,0,86,0,48758
74579,Operations,region_2,Below Secondary,m,other,2,26,,1,0,,0,71034
